"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
1,1,6.25,1,"iHOOI","V",2,0.114140998761964
1,1,6.25,1,"iHOOI","W",2,0.121979909196765
1,0,6.25,1,"JisstPCA0 (BIC)","u",1,0.0690582454301455
1,0,6.25,1,"JisstPCA0 (BIC)","V",1,0.0567054518624756
1,0,6.25,1,"JisstPCA0 (BIC)","W",1,0.0629890243000997
1,0,6.25,1,"JisstPCA0 (BIC)","u",2,0.145393177097417
1,0,6.25,1,"JisstPCA0 (BIC)","V",2,0.0999345304533884
1,0,6.25,1,"JisstPCA0 (BIC)","W",2,0.129297237179507
1,0,6.25,1,"JisstPCA0 (oracle)","u",1,0.0690582454301455
1,0,6.25,1,"JisstPCA0 (oracle)","V",1,0.0567054518624756
1,0,6.25,1,"JisstPCA0 (oracle)","W",1,0.0629890243000997
1,0,6.25,1,"JisstPCA0 (oracle)","u",2,0.145393177097417
1,0,6.25,1,"JisstPCA0 (oracle)","V",2,0.0999345304533884
1,0,6.25,1,"JisstPCA0 (oracle)","W",2,0.129297237179507
1,0,6.25,1,"G-JisstPCA0 (BIC)","u",1,0.069174343142754
1,0,6.25,1,"G-JisstPCA0 (BIC)","V",1,0.0566896747096706
1,0,6.25,1,"G-JisstPCA0 (BIC)","W",1,0.0629940703438191
1,0,6.25,1,"G-JisstPCA0 (BIC)","u",2,0.145159806428558
1,0,6.25,1,"G-JisstPCA0 (BIC)","V",2,0.0999564961231683
1,0,6.25,1,"G-JisstPCA0 (BIC)","W",2,0.129308692913565
1,0,6.25,1,"G-JisstPCA0 (oracle)","u",1,0.069174343142754
1,0,6.25,1,"G-JisstPCA0 (oracle)","V",1,0.0566896747096706
1,0,6.25,1,"G-JisstPCA0 (oracle)","W",1,0.0629940703438191
1,0,6.25,1,"G-JisstPCA0 (oracle)","u",2,0.145159806428558
1,0,6.25,1,"G-JisstPCA0 (oracle)","V",2,0.0999564961231683
1,0,6.25,1,"G-JisstPCA0 (oracle)","W",2,0.129308692913565
1,0,6.25,1,"JisstPCA1 (BIC)","u",1,0.0690582454301455
1,0,6.25,1,"JisstPCA1 (BIC)","V",1,0.0567054518624756
1,0,6.25,1,"JisstPCA1 (BIC)","W",1,0.0629890243000997
1,0,6.25,1,"JisstPCA1 (BIC)","u",2,0.170140521933166
1,0,6.25,1,"JisstPCA1 (BIC)","V",2,0.277242423388111
1,0,6.25,1,"JisstPCA1 (BIC)","W",2,0.51351249556171
1,0,6.25,1,"JisstPCA1 (oracle)","u",1,0.0690582454301455
1,0,6.25,1,"JisstPCA1 (oracle)","V",1,0.0567054518624756
1,0,6.25,1,"JisstPCA1 (oracle)","W",1,0.0629890243000997
1,0,6.25,1,"JisstPCA1 (oracle)","u",2,0.170140521933166
1,0,6.25,1,"JisstPCA1 (oracle)","V",2,0.277242423388111
1,0,6.25,1,"JisstPCA1 (oracle)","W",2,0.51351249556171
1,0,6.25,1,"G-JisstPCA1 (BIC)","u",1,0.069174343142754
1,0,6.25,1,"G-JisstPCA1 (BIC)","V",1,0.0566896747096706
1,0,6.25,1,"G-JisstPCA1 (BIC)","W",1,0.0629940703438191
1,0,6.25,1,"G-JisstPCA1 (BIC)","u",2,0.168873650872534
1,0,6.25,1,"G-JisstPCA1 (BIC)","V",2,0.277159413290252
1,0,6.25,1,"G-JisstPCA1 (BIC)","W",2,0.513487922742963
1,0,6.25,1,"G-JisstPCA1 (oracle)","u",1,0.069174343142754
1,0,6.25,1,"G-JisstPCA1 (oracle)","V",1,0.0566896747096706
1,0,6.25,1,"G-JisstPCA1 (oracle)","W",1,0.0629940703438191
1,0,6.25,1,"G-JisstPCA1 (oracle)","u",2,0.168873650872534
1,0,6.25,1,"G-JisstPCA1 (oracle)","V",2,0.277159413290252
1,0,6.25,1,"G-JisstPCA1 (oracle)","W",2,0.513487922742963
1,0,6.25,1,"iHOSVD","u",1,0.075712068159937
1,0,6.25,1,"iHOSVD","V",1,0.109991975840655
1,0,6.25,1,"iHOSVD","W",1,0.144840008395586
1,0,6.25,1,"iHOSVD","u",2,0.180187644633226
1,0,6.25,1,"iHOSVD","V",2,0.378259901705462
1,0,6.25,1,"iHOSVD","W",2,0.620765275901438
1,0,6.25,1,"iHOOI","u",1,0.0756975155420533
1,0,6.25,1,"iHOOI","V",1,0.105416665394495
1,0,6.25,1,"iHOOI","W",1,0.137960192070683
1,0,6.25,1,"iHOOI","u",2,0.156567068603535
1,0,6.25,1,"iHOOI","V",2,0.354958673401794
1,0,6.25,1,"iHOOI","W",2,0.605164027546645
1,1,8.5,1,"JisstPCA0 (BIC)","u",1,0.0441862462031769
1,1,8.5,1,"JisstPCA0 (BIC)","V",1,0.0465303051380771
1,1,8.5,1,"JisstPCA0 (BIC)","W",1,0.0439386558926619
1,1,8.5,1,"JisstPCA0 (BIC)","u",2,0.113017168990996
1,1,8.5,1,"JisstPCA0 (BIC)","V",2,0.086160785259444
1,1,8.5,1,"JisstPCA0 (BIC)","W",2,0.0913262313815158
1,1,8.5,1,"JisstPCA0 (oracle)","u",1,0.0441862462031769
1,1,8.5,1,"JisstPCA0 (oracle)","V",1,0.0465303051380771
1,1,8.5,1,"JisstPCA0 (oracle)","W",1,0.0439386558926619
1,1,8.5,1,"JisstPCA0 (oracle)","u",2,0.113017168990996
1,1,8.5,1,"JisstPCA0 (oracle)","V",2,0.086160785259444
1,1,8.5,1,"JisstPCA0 (oracle)","W",2,0.0913262313815158
1,1,8.5,1,"G-JisstPCA0 (BIC)","u",1,0.0441931284552546
1,1,8.5,1,"G-JisstPCA0 (BIC)","V",1,0.046528473032328
1,1,8.5,1,"G-JisstPCA0 (BIC)","W",1,0.0439408689247397
1,1,8.5,1,"G-JisstPCA0 (BIC)","u",2,0.113002950850818
1,1,8.5,1,"G-JisstPCA0 (BIC)","V",2,0.0861630366104117
1,1,8.5,1,"G-JisstPCA0 (BIC)","W",2,0.0913464006667868
1,1,8.5,1,"G-JisstPCA0 (oracle)","u",1,0.0441931284552546
1,1,8.5,1,"G-JisstPCA0 (oracle)","V",1,0.046528473032328
1,1,8.5,1,"G-JisstPCA0 (oracle)","W",1,0.0439408689247397
1,1,8.5,1,"G-JisstPCA0 (oracle)","u",2,0.113002950850818
1,1,8.5,1,"G-JisstPCA0 (oracle)","V",2,0.0861630366104117
1,1,8.5,1,"G-JisstPCA0 (oracle)","W",2,0.0913464006667868
1,1,8.5,1,"JisstPCA1 (BIC)","u",1,0.0441862462031769
1,1,8.5,1,"JisstPCA1 (BIC)","V",1,0.0465303051380771
1,1,8.5,1,"JisstPCA1 (BIC)","W",1,0.0439386558926619
1,1,8.5,1,"JisstPCA1 (BIC)","u",2,0.112469228933673
1,1,8.5,1,"JisstPCA1 (BIC)","V",2,0.0835465381052135
1,1,8.5,1,"JisstPCA1 (BIC)","W",2,0.0870694661464666
1,1,8.5,1,"JisstPCA1 (oracle)","u",1,0.0441862462031769
1,1,8.5,1,"JisstPCA1 (oracle)","V",1,0.0465303051380771
1,1,8.5,1,"JisstPCA1 (oracle)","W",1,0.0439386558926619
1,1,8.5,1,"JisstPCA1 (oracle)","u",2,0.112469228933673
1,1,8.5,1,"JisstPCA1 (oracle)","V",2,0.0835465381052135
1,1,8.5,1,"JisstPCA1 (oracle)","W",2,0.0870694661464666
1,1,8.5,1,"G-JisstPCA1 (BIC)","u",1,0.0441931284552546
1,1,8.5,1,"G-JisstPCA1 (BIC)","V",1,0.046528473032328
1,1,8.5,1,"G-JisstPCA1 (BIC)","W",1,0.0439408689247397
1,1,8.5,1,"G-JisstPCA1 (BIC)","u",2,0.112447540133479
1,1,8.5,1,"G-JisstPCA1 (BIC)","V",2,0.0835471343857123
1,1,8.5,1,"G-JisstPCA1 (BIC)","W",2,0.0870869096839312
1,1,8.5,1,"G-JisstPCA1 (oracle)","u",1,0.0441931284552546
1,1,8.5,1,"G-JisstPCA1 (oracle)","V",1,0.046528473032328
1,1,8.5,1,"G-JisstPCA1 (oracle)","W",1,0.0439408689247397
1,1,8.5,1,"G-JisstPCA1 (oracle)","u",2,0.112447540133479
1,1,8.5,1,"G-JisstPCA1 (oracle)","V",2,0.0835471343857123
1,1,8.5,1,"G-JisstPCA1 (oracle)","W",2,0.0870869096839312
1,1,8.5,1,"iHOSVD","u",1,0.0443881507426357
1,1,8.5,1,"iHOSVD","V",1,0.0534841763476573
