factor,dim,SNR,seed,iteration,stat_err,optim_loss
V,60,1.5,10,10,0.331634505121161,437972.965887132
W,60,1.5,10,10,0.280948497209768,437972.965887132
u,60,1.5,11,0,0.340683841069286,NaN
u,60,1.5,11,1,0.244063465586058,438030.746181456
V,60,1.5,11,1,0.344743777579512,438030.746181456
W,60,1.5,11,1,0.298862024383065,438030.746181456
u,60,1.5,11,2,0.242798733319022,438013.126690205
V,60,1.5,11,2,0.335906482194716,438013.126690205
W,60,1.5,11,2,0.287127316185964,438013.126690205
u,60,1.5,11,3,0.243114530118475,438012.660666324
V,60,1.5,11,3,0.337379799691821,438012.660666324
W,60,1.5,11,3,0.286644464773896,438012.660666324
u,60,1.5,11,4,0.243221309594359,438012.639657181
V,60,1.5,11,4,0.337863928490648,438012.639657181
W,60,1.5,11,4,0.286689985494462,438012.639657181
u,60,1.5,11,5,0.243248166914924,438012.638553874
V,60,1.5,11,5,0.337986128194643,438012.638553874
W,60,1.5,11,5,0.286718456146907,438012.638553874
u,60,1.5,11,6,0.243254482739591,438012.638491342
V,60,1.5,11,6,0.338015819663527,438012.638491342
W,60,1.5,11,6,0.286727801026749,438012.638491342
u,60,1.5,11,7,0.243255940789659,438012.638487629
V,60,1.5,11,7,0.338023047770982,438012.638487629
W,60,1.5,11,7,0.286730471583933,438012.638487629
u,60,1.5,11,8,0.24325627658356,438012.638487401
V,60,1.5,11,8,0.338024827556318,438012.638487401
W,60,1.5,11,8,0.286731193585547,438012.638487401
u,60,1.5,11,9,0.243256354193865,438012.638487386
V,60,1.5,11,9,0.338025271345901,438012.638487386
W,60,1.5,11,9,0.286731383338264,438012.638487386
u,60,1.5,11,10,0.243256372232309,438012.638487387
V,60,1.5,11,10,0.338025383247316,438012.638487387
W,60,1.5,11,10,0.286731432396063,438012.638487387
u,60,1.5,12,0,0.332990281212498,NaN
u,60,1.5,12,1,0.221350027675185,438678.451469271
V,60,1.5,12,1,0.397360921907813,438678.451469271
W,60,1.5,12,1,0.292513219089441,438678.451469271
u,60,1.5,12,2,0.219282060691048,438655.471145579
V,60,1.5,12,2,0.381149145719336,438655.471145579
W,60,1.5,12,2,0.284641879658921,438655.471145579
u,60,1.5,12,3,0.219188678568332,438654.951395993
V,60,1.5,12,3,0.379171941222421,438654.951395993
W,60,1.5,12,3,0.28401645778722,438654.951395993
u,60,1.5,12,4,0.219157661965603,438654.93122214
V,60,1.5,12,4,0.378722752349685,438654.93122214
W,60,1.5,12,4,0.283918537378949,438654.93122214
u,60,1.5,12,5,0.219145252502878,438654.930200302
V,60,1.5,12,5,0.378602389388051,438654.930200302
W,60,1.5,12,5,0.283901479588098,438654.930200302
u,60,1.5,12,6,0.219140869457005,438654.930138698
V,60,1.5,12,6,0.378568639917207,438654.930138698
W,60,1.5,12,6,0.283898138414555,438654.930138698
u,60,1.5,12,7,0.219139421801714,438654.930134544
V,60,1.5,12,7,0.378559009832373,438654.930134544
W,60,1.5,12,7,0.283897384216831,438654.930134544
u,60,1.5,12,8,0.219138958359755,438654.930134245
V,60,1.5,12,8,0.378556232977726,438654.930134245
W,60,1.5,12,8,0.283897193590396,438654.930134245
u,60,1.5,12,9,0.219138812050479,438654.93013422
V,60,1.5,12,9,0.378555425228105,438654.93013422
W,60,1.5,12,9,0.283897142667168,438654.93013422
u,60,1.5,12,10,0.219138766124521,438654.930134218
V,60,1.5,12,10,0.378555188296497,438654.930134218
W,60,1.5,12,10,0.283897128990048,438654.930134218
u,60,1.5,13,0,0.335520480160996,NaN
u,60,1.5,13,1,0.228837613759257,437870.341060065
V,60,1.5,13,1,0.337233830793288,437870.341060065
W,60,1.5,13,1,0.278930252006781,437870.341060065
u,60,1.5,13,2,0.228426678213158,437850.048248765
V,60,1.5,13,2,0.335179682389471,437850.048248765
W,60,1.5,13,2,0.271471955495717,437850.048248765
u,60,1.5,13,3,0.229090736309883,437849.243841002
V,60,1.5,13,3,0.336439332490458,437849.243841002
W,60,1.5,13,3,0.273121155828675,437849.243841002
u,60,1.5,13,4,0.229285093188614,437849.193593767
V,60,1.5,13,4,0.336807850283277,437849.193593767
W,60,1.5,13,4,0.273731035017349,437849.193593767
u,60,1.5,13,5,0.229335660601544,437849.189919522
V,60,1.5,13,5,0.336918279241596,437849.189919522
