factor,dim,SNR,seed,iteration,stat_err,optim_loss
u,60,1.5,12,8,0.227231306484598,438662.011278918
V,60,1.5,12,8,0.3453621733822,438662.011278918
W,60,1.5,12,8,0.246430903238673,438662.011278918
u,60,1.5,12,9,0.227231112986818,438662.011260126
V,60,1.5,12,9,0.345361091938413,438662.011260126
W,60,1.5,12,9,0.246430760451988,438662.011260126
u,60,1.5,12,10,0.227231049074731,438662.011255224
V,60,1.5,12,10,0.345360750562071,438662.011255224
W,60,1.5,12,10,0.24643070766425,438662.011255224
u,60,1.5,13,0,0.349186319184076,NaN
u,60,1.5,13,1,0.229332685681723,437883.429627783
V,60,1.5,13,1,0.280486003986115,437883.429627783
W,60,1.5,13,1,0.230413429425124,437883.429627783
u,60,1.5,13,2,0.228492126615353,437862.294451263
V,60,1.5,13,2,0.270974510603642,437862.294451263
W,60,1.5,13,2,0.216596780530562,437862.294451263
u,60,1.5,13,3,0.2293244507665,437861.427834827
V,60,1.5,13,3,0.271723065666352,437861.427834827
W,60,1.5,13,3,0.217706027514136,437861.427834827
u,60,1.5,13,4,0.229589824985431,437861.391475714
V,60,1.5,13,4,0.272056275260221,437861.391475714
W,60,1.5,13,4,0.218202101061681,437861.391475714
u,60,1.5,13,5,0.229663479456046,437861.394243975
V,60,1.5,13,5,0.272167380786821,437861.394243975
W,60,1.5,13,5,0.218354807711096,437861.394243975
u,60,1.5,13,6,0.229683899857425,437861.396068524
V,60,1.5,13,6,0.272204457210757,437861.396068524
W,60,1.5,13,6,0.218400531488839,437861.396068524
u,60,1.5,13,7,0.229689689437285,437861.396701189
V,60,1.5,13,7,0.272216880978143,437861.396701189
W,60,1.5,13,7,0.21841449235515,437861.396701189
u,60,1.5,13,8,0.229691373992127,437861.396901808
V,60,1.5,13,8,0.272221035912011,437861.396901808
W,60,1.5,13,8,0.218418855731987,437861.396901808
u,60,1.5,13,9,0.22969187618073,437861.396964556
V,60,1.5,13,9,0.272222419811995,437861.396964556
W,60,1.5,13,9,0.218420244415831,437861.396964556
u,60,1.5,13,10,0.229692029068085,437861.396984243
V,60,1.5,13,10,0.272222878871683,437861.396984243
W,60,1.5,13,10,0.218420691866313,437861.396984243
u,60,1.5,14,0,0.325754470169123,NaN
u,60,1.5,14,1,0.236917777438039,438998.055664041
V,60,1.5,14,1,0.349866153793267,438998.055664041
W,60,1.5,14,1,0.260078998647427,438998.055664041
u,60,1.5,14,2,0.238215718780202,438975.074115556
V,60,1.5,14,2,0.335887371868437,438975.074115556
W,60,1.5,14,2,0.252314290584684,438975.074115556
u,60,1.5,14,3,0.238730440649229,438974.199594185
V,60,1.5,14,3,0.336146750732592,438974.199594185
W,60,1.5,14,3,0.252134951447301,438974.199594185
u,60,1.5,14,4,0.238815442771061,438974.150829568
V,60,1.5,14,4,0.336388290178491,438974.150829568
W,60,1.5,14,4,0.252080484816661,438974.150829568
u,60,1.5,14,5,0.238825901362722,438974.147096274
V,60,1.5,14,5,0.336457635976987,438974.147096274
W,60,1.5,14,5,0.25205399913495,438974.147096274
u,60,1.5,14,6,0.238826267710982,438974.14657849
V,60,1.5,14,6,0.336475442557706,438974.14657849
W,60,1.5,14,6,0.252044185890838,438974.14657849
u,60,1.5,14,7,0.238825873622576,438974.146454857
V,60,1.5,14,7,0.336479956159096,438974.146454857
W,60,1.5,14,7,0.252041005960477,438974.146454857
u,60,1.5,14,8,0.238825662921414,438974.146419205
V,60,1.5,14,8,0.336481106588856,438974.146419205
W,60,1.5,14,8,0.252040038217131,438974.146419205
u,60,1.5,14,9,0.23882558271196,438974.146408628
V,60,1.5,14,9,0.336481402056141,438974.146408628
W,60,1.5,14,9,0.252039752368296,438974.146408628
u,60,1.5,14,10,0.238825555574894,438974.146405507
V,60,1.5,14,10,0.336481478422629,438974.146405507
W,60,1.5,14,10,0.25203966908251,438974.146405507
u,60,1.5,15,0,0.427155512399533,NaN
u,60,1.5,15,1,0.247784450290255,438612.13616359
V,60,1.5,15,1,0.370919517892077,438612.13616359
W,60,1.5,15,1,0.332280095902901,438612.13616359
u,60,1.5,15,2,0.236206678616396,438575.745194643
V,60,1.5,15,2,0.334575604714214,438575.745194643
W,60,1.5,15,2,0.308646909152077,438575.745194643
u,60,1.5,15,3,0.234475833238897,438574.144381604
V,60,1.5,15,3,0.328059527042516,438574.144381604
W,60,1.5,15,3,0.305604634672344,438574.144381604
u,60,1.5,15,4,0.234008424680044,438574.026506112
V,60,1.5,15,4,0.326435509390885,438574.026506112
W,60,1.5,15,4,0.304855840118879,438574.026506112
u,60,1.5,15,5,0.233857454876575,438574.015496868
V,60,1.5,15,5,0.325988123296322,438574.015496868
W,60,1.5,15,5,0.3046387351978,438574.015496868
u,60,1.5,15,6,0.233807319645156,438574.01421194
V,60,1.5,15,6,0.32585948423647,438574.01421194
W,60,1.5,15,6,0.304573406879694,438574.01421194
u,60,1.5,15,7,0.233790755906221,438574.014005305
V,60,1.5,15,7,0.325821561623216,438574.014005305
W,60,1.5,15,7,0.304553583002944,438574.014005305
u,60,1.5,15,8,0.233785332868189,438574.013958332
V,60,1.5,15,8,0.325810185897356,438574.013958332
W,60,1.5,15,8,0.304547549990723,438574.013958332
u,60,1.5,15,9,0.233783570409966,438574.013945007
V,60,1.5,15,9,0.325806727881348,438574.013945007
W,60,1.5,15,9,0.304545709315238,438574.013945007
u,60,1.5,15,10,0.233783000625012,438574.013940862
V,60,1.5,15,10,0.325805665575725,438574.013940862
W,60,1.5,15,10,0.304545146044634,438574.013940862
u,60,1.5,16,0,0.347035038867785,NaN
u,60,1.5,16,1,0.221047151617039,439789.642083138
V,60,1.5,16,1,0.300178427907986,439789.642083138
W,60,1.5,16,1,0.243737670755276,439789.642083138
u,60,1.5,16,2,0.219868054254024,439765.219310613
V,60,1.5,16,2,0.302072751058161,439765.219310613
W,60,1.5,16,2,0.23942916537884,439765.219310613
u,60,1.5,16,3,0.22016354968463,439764.483113032
V,60,1.5,16,3,0.303149712762507,439764.483113032
W,60,1.5,16,3,0.240217810913683,439764.483113032
u,60,1.5,16,4,0.220268544434899,439764.437185325
V,60,1.5,16,4,0.303339542710487,439764.437185325
