q,N,seed,method,factor name,RI,ARI
50,20,2,iHOSVD,networkX1,1,1
50,20,2,iHOSVD,networkY1,1,1
50,20,2,iHOSVD,networkX2,0.59620253164557,0.194856230031949
50,20,2,iHOSVD,networkY2,0.493061224489796,-0.0183394130049194
50,20,2,iHOOI,sample,1,1
50,20,2,iHOOI,networkX1,1,1
50,20,2,iHOOI,networkY1,1,1
50,20,2,iHOOI,networkX2,0.574683544303797,0.153139356814701
50,20,2,iHOOI,networkY2,0.489795918367347,-0.0201192498584325
50,40,2,JisstPCA0 (oracle),sample,0.533333333333333,0.0575207138304654
50,40,2,JisstPCA0 (oracle),networkX1,1,1
50,40,2,JisstPCA0 (oracle),networkY1,1,1
50,40,2,JisstPCA0 (oracle),networkX2,0.496518987341772,-0.00711532760154167
50,40,2,JisstPCA0 (oracle),networkY2,0.493061224489796,-0.0134554537885095
50,40,2,JisstPCA0 (BIC),sample,0.533333333333333,0.0575207138304654
50,40,2,JisstPCA0 (BIC),networkX1,1,1
50,40,2,JisstPCA0 (BIC),networkY1,1,1
50,40,2,JisstPCA0 (BIC),networkX2,0.496518987341772,-0.00711532760154167
50,40,2,JisstPCA0 (BIC),networkY2,0.502857142857143,0.00559832050384887
50,40,2,G-JisstPCA0 (oracle),sample,0.642307692307692,0.191808904140113
50,40,2,G-JisstPCA0 (oracle),networkX1,1,1
50,40,2,G-JisstPCA0 (oracle),networkY1,1,1
50,40,2,G-JisstPCA0 (oracle),networkX2,0.49873417721519,-0.00240315293665283
50,40,2,G-JisstPCA0 (oracle),networkY2,0.490612244897959,-0.0183852917665868
50,40,2,G-JisstPCA0 (BIC),sample,0.488461538461538,-0.00839846028228148
50,40,2,G-JisstPCA0 (BIC),networkX1,1,1
50,40,2,G-JisstPCA0 (BIC),networkY1,1,1
50,40,2,G-JisstPCA0 (BIC),networkX2,0.501582278481013,0.00339610249181012
50,40,2,G-JisstPCA0 (BIC),networkY2,0.489795918367347,-0.0201192498584325
50,40,2,JisstPCA2 (oracle),sample,1,1
50,40,2,JisstPCA2 (oracle),networkX1,1,1
50,40,2,JisstPCA2 (oracle),networkY1,1,1
50,40,2,JisstPCA2 (oracle),networkX2,1,1
50,40,2,JisstPCA2 (oracle),networkY2,1,1
50,40,2,JisstPCA2 (BIC),sample,1,1
50,40,2,JisstPCA2 (BIC),networkX1,1,1
50,40,2,JisstPCA2 (BIC),networkY1,1,1
50,40,2,JisstPCA2 (BIC),networkX2,1,1
50,40,2,JisstPCA2 (BIC),networkY2,1,1
50,40,2,G-JisstPCA2 (oracle),sample,1,1
50,40,2,G-JisstPCA2 (oracle),networkX1,1,1
50,40,2,G-JisstPCA2 (oracle),networkY1,1,1
50,40,2,G-JisstPCA2 (oracle),networkX2,1,1
50,40,2,G-JisstPCA2 (oracle),networkY2,1,1
50,40,2,G-JisstPCA2 (BIC),sample,1,1
50,40,2,G-JisstPCA2 (BIC),networkX1,1,1
50,40,2,G-JisstPCA2 (BIC),networkY1,1,1
50,40,2,G-JisstPCA2 (BIC),networkX2,1,1
50,40,2,G-JisstPCA2 (BIC),networkY2,1,1
50,40,2,iHOSVD,sample,1,1
50,40,2,iHOSVD,networkX1,0.982594936708861,0.960823455794973
50,40,2,iHOSVD,networkY1,1,1
50,40,2,iHOSVD,networkX2,0.607911392405063,0.218458811411598
50,40,2,iHOSVD,networkY2,0.490612244897959,-0.0183852917665868
50,40,2,iHOOI,sample,1,1
