q,N,seed,method,factor name,factor number,err
80,40,1,JisstPCA2 (oracle),W,2,0.20461382523921
80,40,1,JisstPCA2 (BIC),u,1,0.0851029919307194
80,40,1,JisstPCA2 (BIC),V,1,0.0616038723310119
80,40,1,JisstPCA2 (BIC),W,1,0.0974808940629548
80,40,1,JisstPCA2 (BIC),u,2,0.124130865220285
80,40,1,JisstPCA2 (BIC),V,2,0.139999697116694
80,40,1,JisstPCA2 (BIC),W,2,0.20461382523921
80,40,1,G-JisstPCA2 (oracle),u,1,0.0860142206698854
80,40,1,G-JisstPCA2 (oracle),V,1,0.0616502646291114
80,40,1,G-JisstPCA2 (oracle),W,1,0.0975177071668405
80,40,1,G-JisstPCA2 (oracle),u,2,0.123387530930025
80,40,1,G-JisstPCA2 (oracle),V,2,0.14070560647723
80,40,1,G-JisstPCA2 (oracle),W,2,0.205156179652574
80,40,1,G-JisstPCA2 (BIC),u,1,0.0860142206698854
80,40,1,G-JisstPCA2 (BIC),V,1,0.0616502646291114
80,40,1,G-JisstPCA2 (BIC),W,1,0.0975177071668405
80,40,1,G-JisstPCA2 (BIC),u,2,0.123387530930025
80,40,1,G-JisstPCA2 (BIC),V,2,0.14070560647723
80,40,1,G-JisstPCA2 (BIC),W,2,0.205156179652574
80,40,1,iHOSVD,u,1,0.129602464080119
80,40,1,iHOSVD,V,1,0.151348280037936
80,40,1,iHOSVD,W,1,0.169653694565207
80,40,1,iHOSVD,u,2,0.178851486621149
80,40,1,iHOSVD,V,2,0.768415856323588
80,40,1,iHOSVD,W,2,0.761824054291299
80,40,1,iHOOI,u,1,0.0783839226103661
80,40,1,iHOOI,V,1,0.150289694365071
80,40,1,iHOOI,W,1,0.168749091524613
80,40,1,iHOOI,u,2,0.118741865061103
80,40,1,iHOOI,V,2,0.762397969321388
80,40,1,iHOOI,W,2,0.720663412844984
50,20,2,JisstPCA0 (oracle),u,1,0.0686590812201625
50,20,2,JisstPCA0 (oracle),V,1,0.0808108786553032
50,20,2,JisstPCA0 (oracle),W,1,0.136845978230902
50,20,2,JisstPCA0 (oracle),u,2,0.891911960995584
50,20,2,JisstPCA0 (oracle),V,2,0.999997696397479
50,20,2,JisstPCA0 (oracle),W,2,0.996577312802076
50,20,2,JisstPCA0 (BIC),u,1,0.0686590812201625
50,20,2,JisstPCA0 (BIC),V,1,0.0808108786553032
50,20,2,JisstPCA0 (BIC),W,1,0.136845978230902
50,20,2,JisstPCA0 (BIC),u,2,0.891911960995584
50,20,2,JisstPCA0 (BIC),V,2,0.999997696397479
50,20,2,JisstPCA0 (BIC),W,2,0.996577312802076
50,20,2,G-JisstPCA0 (oracle),u,1,0.0666154786991134
