"diagonal","SNR","seed","method","factor.name","factor.number","err"
1,4,1,"JisstPCA0 (oracle)","V",1,0.134724488160457
1,4,1,"JisstPCA0 (oracle)","W",1,0.0962266635646314
1,4,1,"JisstPCA0 (oracle)","u",2,0.0955693486857343
1,4,1,"JisstPCA0 (oracle)","V",2,0.209906718328584
1,4,1,"JisstPCA0 (oracle)","W",2,0.144650467728748
1,4,1,"JisstPCA1 (BIC)","u",1,0.0429854002543657
1,4,1,"JisstPCA1 (BIC)","V",1,0.134724488160457
1,4,1,"JisstPCA1 (BIC)","W",1,0.0962266635646314
1,4,1,"JisstPCA1 (BIC)","u",2,0.149834757219015
1,4,1,"JisstPCA1 (BIC)","V",2,0.283811730149307
1,4,1,"JisstPCA1 (BIC)","W",2,0.304442701344455
1,4,1,"JisstPCA1 (BIC top)","u",1,0.0429854002543657
1,4,1,"JisstPCA1 (BIC top)","V",1,0.134724488160457
1,4,1,"JisstPCA1 (BIC top)","W",1,0.0962266635646314
1,4,1,"JisstPCA1 (BIC top)","u",2,0.149834757219015
1,4,1,"JisstPCA1 (BIC top)","V",2,0.283811730149307
1,4,1,"JisstPCA1 (BIC top)","W",2,0.304442701344455
1,4,1,"JisstPCA1 (oracle)","u",1,0.0429854002543657
1,4,1,"JisstPCA1 (oracle)","V",1,0.134724488160457
1,4,1,"JisstPCA1 (oracle)","W",1,0.0962266635646314
1,4,1,"JisstPCA1 (oracle)","u",2,0.149834757219015
1,4,1,"JisstPCA1 (oracle)","V",2,0.283811730149307
1,4,1,"JisstPCA1 (oracle)","W",2,0.304442701344455
1,4,1,"iHOSVD","u",1,0.0503233227524239
1,4,1,"iHOSVD","V",1,0.20395746984943
1,4,1,"iHOSVD","W",1,0.124762354072329
1,4,1,"iHOSVD","u",2,0.193930007751438
1,4,1,"iHOSVD","V",2,0.470146048520203
1,4,1,"iHOSVD","W",2,0.412682667988869
1,4,1,"iHOOI","u",1,0.0461523112914379
1,4,1,"iHOOI","V",1,0.163989640856368
1,4,1,"iHOOI","W",1,0.112274558650966
1,4,1,"iHOOI","u",2,0.169579756425013
1,4,1,"iHOOI","V",2,0.35614479517508
1,4,1,"iHOOI","W",2,0.360850480395358
1,5,1,"JisstPCA0 (BIC)","u",1,0.0346064166512446
1,5,1,"JisstPCA0 (BIC)","V",1,0.107913991781226
1,5,1,"JisstPCA0 (BIC)","W",1,0.0772690671738716
1,5,1,"JisstPCA0 (BIC)","u",2,0.0746850265734925
1,5,1,"JisstPCA0 (BIC)","V",2,0.16524327849278
1,5,1,"JisstPCA0 (BIC)","W",2,0.113816996591853
1,5,1,"JisstPCA0 (BIC top)","u",1,0.0346064166512446
1,5,1,"JisstPCA0 (BIC top)","V",1,0.107913991781226
1,5,1,"JisstPCA0 (BIC top)","W",1,0.0772690671738716
1,5,1,"JisstPCA0 (BIC top)","u",2,0.0746850265734925
1,5,1,"JisstPCA0 (BIC top)","V",2,0.16524327849278
1,5,1,"JisstPCA0 (BIC top)","W",2,0.113816996591853
1,5,1,"JisstPCA0 (oracle)","u",1,0.0346064166512446
1,5,1,"JisstPCA0 (oracle)","V",1,0.107913991781226
1,5,1,"JisstPCA0 (oracle)","W",1,0.0772690671738716
1,5,1,"JisstPCA0 (oracle)","u",2,0.0746850265734925
1,5,1,"JisstPCA0 (oracle)","V",2,0.16524327849278
1,5,1,"JisstPCA0 (oracle)","W",2,0.113816996591853
1,5,1,"JisstPCA1 (BIC)","u",1,0.0346064166512446
1,5,1,"JisstPCA1 (BIC)","V",1,0.107913991781226
1,5,1,"JisstPCA1 (BIC)","W",1,0.0772690671738716
1,5,1,"JisstPCA1 (BIC)","u",2,0.136119798746716
1,5,1,"JisstPCA1 (BIC)","V",2,0.251965406549094
1,5,1,"JisstPCA1 (BIC)","W",2,0.286360578482075
1,5,1,"JisstPCA1 (BIC top)","u",1,0.0346064166512446
1,5,1,"JisstPCA1 (BIC top)","V",1,0.107913991781226
1,5,1,"JisstPCA1 (BIC top)","W",1,0.0772690671738716
1,5,1,"JisstPCA1 (BIC top)","u",2,0.136119798746716
1,5,1,"JisstPCA1 (BIC top)","V",2,0.251965406549094
1,5,1,"JisstPCA1 (BIC top)","W",2,0.286360578482075
1,5,1,"JisstPCA1 (oracle)","u",1,0.0346064166512446
1,5,1,"JisstPCA1 (oracle)","V",1,0.107913991781226
