method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,49,7,0
truth,V,1,50,7,0
truth,V,1,1,8,-0.00704809334155283
truth,V,1,2,8,-0.0826870270117226
truth,V,1,3,8,-0.157734095158745
truth,V,1,4,8,-0.0156588295740985
truth,V,1,5,8,-0.0532899764469014
truth,V,1,6,8,0.0917598792558167
truth,V,1,7,8,-0.0768644107673007
truth,V,1,8,8,0.0842597659150491
truth,V,1,9,8,-0.0335870374716628
truth,V,1,10,8,-0.0393793681458067
truth,V,1,11,8,0.0275046488761113
truth,V,1,12,8,-0.0347210245722446
truth,V,1,13,8,0.0472795365488521
truth,V,1,14,8,0.0558029110259485
truth,V,1,15,8,-0.0507168230551203
truth,V,1,16,8,0.0587488094741876
truth,V,1,17,8,0.0501236940367054
truth,V,1,18,8,0.0380307918853957
truth,V,1,19,8,0.0754357432816872
truth,V,1,20,8,0.0481359005875636
truth,V,1,21,8,0
truth,V,1,22,8,0
truth,V,1,23,8,0
truth,V,1,24,8,0
truth,V,1,25,8,0
truth,V,1,26,8,0
truth,V,1,27,8,0
truth,V,1,28,8,0
truth,V,1,29,8,0
truth,V,1,30,8,0
truth,V,1,31,8,0
truth,V,1,32,8,0
truth,V,1,33,8,0
truth,V,1,34,8,0
truth,V,1,35,8,0
truth,V,1,36,8,0
truth,V,1,37,8,0
truth,V,1,38,8,0
truth,V,1,39,8,0
truth,V,1,40,8,0
truth,V,1,41,8,0
truth,V,1,42,8,0
truth,V,1,43,8,0
truth,V,1,44,8,0
truth,V,1,45,8,0
truth,V,1,46,8,0
truth,V,1,47,8,0
truth,V,1,48,8,0
truth,V,1,49,8,0
truth,V,1,50,8,0
truth,V,1,1,9,0.00280946158104899
truth,V,1,2,9,0.0329601233103723
truth,V,1,3,9,0.0628748597521249
truth,V,1,4,9,0.00624181292169594
truth,V,1,5,9,0.0212420770025713
truth,V,1,6,9,-0.0365766800974452
truth,V,1,7,9,0.0306391528227296
