"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
4,1,8.5,2,"iHOOI","V",2,0.967008389261015
4,1,8.5,2,"iHOOI","W",2,0.091984325661286
4,1,12.5,2,"G-JisstPCA0 (oracle)","u",1,0.0112949055669034
4,1,12.5,2,"G-JisstPCA0 (oracle)","V",1,0.0492248541280663
4,1,12.5,2,"G-JisstPCA0 (oracle)","W",1,0.0353986544495674
4,1,12.5,2,"G-JisstPCA0 (oracle)","u",2,0.0295660934426422
4,1,12.5,2,"G-JisstPCA0 (oracle)","V",2,0.0670580419563956
4,1,12.5,2,"G-JisstPCA0 (oracle)","W",2,0.048176113161031
4,1,12.5,2,"G-JisstPCA1 (oracle)","u",1,0.0112949055669034
4,1,12.5,2,"G-JisstPCA1 (oracle)","V",1,0.0492248541280663
4,1,12.5,2,"G-JisstPCA1 (oracle)","W",1,0.0353986544495674
4,1,12.5,2,"G-JisstPCA1 (oracle)","u",2,0.0279756964645711
4,1,12.5,2,"G-JisstPCA1 (oracle)","V",2,0.0671546678211848
4,1,12.5,2,"G-JisstPCA1 (oracle)","W",2,0.0441987217708265
4,1,12.5,2,"iHOSVD","u",1,0.0113650923027801
4,1,12.5,2,"iHOSVD","V",1,0.966537772688635
4,1,12.5,2,"iHOSVD","W",1,0.0647258608924975
4,1,12.5,2,"iHOSVD","u",2,0.0285728929656922
4,1,12.5,2,"iHOSVD","V",2,0.966583896452077
4,1,12.5,2,"iHOSVD","W",2,0.06639493542565
4,1,12.5,2,"iHOOI","u",1,0.0113177463086893
4,1,12.5,2,"iHOOI","V",1,0.966673368910893
4,1,12.5,2,"iHOOI","W",1,0.0586304700236404
4,1,12.5,2,"iHOOI","u",2,0.0271721696643026
4,1,12.5,2,"iHOOI","V",2,0.966689269214516
4,1,12.5,2,"iHOOI","W",2,0.0613107193862873
4,1,25,2,"G-JisstPCA0 (oracle)","u",1,0.00547160497778625
4,1,25,2,"G-JisstPCA0 (oracle)","V",1,0.0245682906492789
4,1,25,2,"G-JisstPCA0 (oracle)","W",1,0.0178098648114211
4,1,25,2,"G-JisstPCA0 (oracle)","u",2,0.0145437402300134
4,1,25,2,"G-JisstPCA0 (oracle)","V",2,0.0334110725079422
4,1,25,2,"G-JisstPCA0 (oracle)","W",2,0.024290048584344
4,1,25,2,"G-JisstPCA1 (oracle)","u",1,0.00547160497778625
4,1,25,2,"G-JisstPCA1 (oracle)","V",1,0.0245682906492789
4,1,25,2,"G-JisstPCA1 (oracle)","W",1,0.0178098648114211
4,1,25,2,"G-JisstPCA1 (oracle)","u",2,0.0137533159881932
4,1,25,2,"G-JisstPCA1 (oracle)","V",2,0.0334535133814208
4,1,25,2,"G-JisstPCA1 (oracle)","W",2,0.0222029971726602
4,1,25,2,"iHOSVD","u",1,0.00566491604377782
4,1,25,2,"iHOSVD","V",1,0.96602491954144
4,1,25,2,"iHOSVD","W",1,0.0301576405564537
4,1,25,2,"iHOSVD","u",2,0.0137938319905019
4,1,25,2,"iHOSVD","V",2,0.966032146833291
4,1,25,2,"iHOSVD","W",2,0.0311991812608419
4,1,25,2,"iHOOI","u",1,0.00566754085939246
4,1,25,2,"iHOOI","V",1,0.966325687384538
4,1,25,2,"iHOOI","W",1,0.0287207235089166
4,1,25,2,"iHOOI","u",2,0.0136227206271875
4,1,25,2,"iHOOI","V",2,0.966329383921924
4,1,25,2,"iHOOI","W",2,0.0300588211603781
4,1,5,3,"G-JisstPCA0 (oracle)","u",1,0.0348095442942794
4,1,5,3,"G-JisstPCA0 (oracle)","V",1,0.117611115425385
4,1,5,3,"G-JisstPCA0 (oracle)","W",1,0.106520255555482
4,1,5,3,"G-JisstPCA0 (oracle)","u",2,0.0674425941141309
4,1,5,3,"G-JisstPCA0 (oracle)","V",2,0.171442695625431
4,1,5,3,"G-JisstPCA0 (oracle)","W",2,0.134407953642512
4,1,5,3,"G-JisstPCA1 (oracle)","u",1,0.0348095442942794
4,1,5,3,"G-JisstPCA1 (oracle)","V",1,0.117611115425385
4,1,5,3,"G-JisstPCA1 (oracle)","W",1,0.106520255555482
4,1,5,3,"G-JisstPCA1 (oracle)","u",2,0.0675751799275563
4,1,5,3,"G-JisstPCA1 (oracle)","V",2,0.170733938269317
4,1,5,3,"G-JisstPCA1 (oracle)","W",2,0.13333971392636
4,1,5,3,"iHOSVD","u",1,0.0374352317984473
4,1,5,3,"iHOSVD","V",1,0.164452196444963
4,1,5,3,"iHOSVD","W",1,0.140826443459498
4,1,5,3,"iHOSVD","u",2,0.0971040165780826
4,1,5,3,"iHOSVD","V",2,0.240069332698099
4,1,5,3,"iHOSVD","W",2,0.185895682604136
4,1,5,3,"iHOOI","u",1,0.0315777953306275
4,1,5,3,"iHOOI","V",1,0.269994514922537
4,1,5,3,"iHOOI","W",1,0.148361957181014
4,1,5,3,"iHOOI","u",2,0.060239720095396
4,1,5,3,"iHOOI","V",2,0.274048575074351
4,1,5,3,"iHOOI","W",2,0.148035213819273
4,1,6.25,3,"G-JisstPCA0 (oracle)","u",1,0.0277521466723572
4,1,6.25,3,"G-JisstPCA0 (oracle)","V",1,0.0947323213280133
4,1,6.25,3,"G-JisstPCA0 (oracle)","W",1,0.0856135020571794
4,1,6.25,3,"G-JisstPCA0 (oracle)","u",2,0.0530106731050651
4,1,6.25,3,"G-JisstPCA0 (oracle)","V",2,0.135838192038553
4,1,6.25,3,"G-JisstPCA0 (oracle)","W",2,0.105842822478955
4,1,6.25,3,"G-JisstPCA1 (oracle)","u",1,0.0277521466723572
