scenario,orthogonal,SNR,seed,method,factor name,factor number,err
4,0,8.5,1,JisstPCA1 (BIC top),V,2,0.247322679085702
4,0,8.5,1,JisstPCA1 (BIC top),W,2,0.348565978344226
4,0,8.5,1,JisstPCA1 (oracle),u,1,0.0180103181686098
4,0,8.5,1,JisstPCA1 (oracle),V,1,0.0638428517709276
4,0,8.5,1,JisstPCA1 (oracle),W,1,0.0555164971617451
4,0,8.5,1,JisstPCA1 (oracle),u,2,0.151032536265012
4,0,8.5,1,JisstPCA1 (oracle),V,2,0.247322679085702
4,0,8.5,1,JisstPCA1 (oracle),W,2,0.348565978344226
4,0,8.5,1,G-JisstPCA1 (BIC),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA1 (BIC),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA1 (BIC),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA1 (BIC),u,2,0.149826953456835
4,0,8.5,1,G-JisstPCA1 (BIC),V,2,0.247008204507918
4,0,8.5,1,G-JisstPCA1 (BIC),W,2,0.348106011718028
4,0,8.5,1,G-JisstPCA1 (BIC top),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA1 (BIC top),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA1 (BIC top),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA1 (BIC top),u,2,0.149826953456835
4,0,8.5,1,G-JisstPCA1 (BIC top),V,2,0.247008204507918
4,0,8.5,1,G-JisstPCA1 (BIC top),W,2,0.348106011718028
4,0,8.5,1,G-JisstPCA1 (oracle),u,1,0.0160833099310491
4,0,8.5,1,G-JisstPCA1 (oracle),V,1,0.0636793514954338
4,0,8.5,1,G-JisstPCA1 (oracle),W,1,0.0553754231865895
4,0,8.5,1,G-JisstPCA1 (oracle),u,2,0.149826953456835
4,0,8.5,1,G-JisstPCA1 (oracle),V,2,0.247008204507918
4,0,8.5,1,G-JisstPCA1 (oracle),W,2,0.348106011718028
4,0,8.5,1,iHOSVD,u,1,0.0261503723340102
4,0,8.5,1,iHOSVD,V,1,0.235206083755467
4,0,8.5,1,iHOSVD,W,1,0.313706254720882
4,0,8.5,1,iHOSVD,u,2,0.163954140005612
4,0,8.5,1,iHOSVD,V,2,0.422105876328799
4,0,8.5,1,iHOSVD,W,2,0.580416003859739
4,0,8.5,1,iHOOI,u,1,0.0264738446995036
4,0,8.5,1,iHOOI,V,1,0.245407375753841
4,0,8.5,1,iHOOI,W,1,0.315312508763797
4,0,8.5,1,iHOOI,u,2,0.163033229768746
4,0,8.5,1,iHOOI,V,2,0.429128013425009
4,0,8.5,1,iHOOI,W,2,0.58121316266395
4,0,12.5,1,JisstPCA0 (BIC),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA0 (BIC),V,1,0.0462017640369339
4,0,12.5,1,JisstPCA0 (BIC),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA0 (BIC),u,2,0.473241745961337
4,0,12.5,1,JisstPCA0 (BIC),V,2,1
4,0,12.5,1,JisstPCA0 (BIC),W,2,0.999999999999999
4,0,12.5,1,JisstPCA0 (BIC top),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA0 (BIC top),V,1,0.0462017640369339
4,0,12.5,1,JisstPCA0 (BIC top),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA0 (BIC top),u,2,0.473241745961337
4,0,12.5,1,JisstPCA0 (BIC top),V,2,0.172052308877006
4,0,12.5,1,JisstPCA0 (BIC top),W,2,0.410312380830962
4,0,12.5,1,JisstPCA0 (oracle),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA0 (oracle),V,1,0.0462017640369339
4,0,12.5,1,JisstPCA0 (oracle),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA0 (oracle),u,2,0.993722384635206
4,0,12.5,1,JisstPCA0 (oracle),V,2,0.99809915634655
4,0,12.5,1,JisstPCA0 (oracle),W,2,0.993198734640893
4,0,12.5,1,G-JisstPCA0 (BIC),u,1,0.0122220096705794
4,0,12.5,1,G-JisstPCA0 (BIC),V,1,0.0459572087547697
4,0,12.5,1,G-JisstPCA0 (BIC),W,1,0.0422070469214748
4,0,12.5,1,G-JisstPCA0 (BIC),u,2,0.0316432823466728
4,0,12.5,1,G-JisstPCA0 (BIC),V,2,0.0671643042552124
4,0,12.5,1,G-JisstPCA0 (BIC),W,2,0.0499127878325202
4,0,12.5,1,G-JisstPCA0 (BIC top),u,1,0.0122220096705794
4,0,12.5,1,G-JisstPCA0 (BIC top),V,1,0.0459572087547697
4,0,12.5,1,G-JisstPCA0 (BIC top),W,1,0.0422070469214748
4,0,12.5,1,G-JisstPCA0 (BIC top),u,2,0.0316432823466728
4,0,12.5,1,G-JisstPCA0 (BIC top),V,2,0.0671643042552124
4,0,12.5,1,G-JisstPCA0 (BIC top),W,2,0.0499127878325202
4,0,12.5,1,G-JisstPCA0 (oracle),u,1,0.0122220096705794
4,0,12.5,1,G-JisstPCA0 (oracle),V,1,0.0459572087547697
4,0,12.5,1,G-JisstPCA0 (oracle),W,1,0.0422070469214748
4,0,12.5,1,G-JisstPCA0 (oracle),u,2,0.0316432823466728
4,0,12.5,1,G-JisstPCA0 (oracle),V,2,0.0671643042552124
4,0,12.5,1,G-JisstPCA0 (oracle),W,2,0.0499127878325202
4,0,12.5,1,JisstPCA1 (BIC),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA1 (BIC),V,1,0.0462017640369339
4,0,12.5,1,JisstPCA1 (BIC),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA1 (BIC),u,2,0.14847847907684
4,0,12.5,1,JisstPCA1 (BIC),V,2,0.23896357610211
4,0,12.5,1,JisstPCA1 (BIC),W,2,0.349476219612745
4,0,12.5,1,JisstPCA1 (BIC top),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA1 (BIC top),V,1,0.0462017640369339
