diagonal,SNR,seed,method,factor name,factor number,err
0,8.5,1,JisstPCA1 (BIC top),W,1,0.0465540396354481
0,8.5,1,JisstPCA1 (BIC top),u,2,0.111404126739149
0,8.5,1,JisstPCA1 (BIC top),V,2,0.439493645476076
0,8.5,1,JisstPCA1 (BIC top),W,2,0.158982500614634
0,8.5,1,JisstPCA1 (oracle),u,1,0.04681818285909
0,8.5,1,JisstPCA1 (oracle),V,1,0.047316344300096
0,8.5,1,JisstPCA1 (oracle),W,1,0.0465540396354481
0,8.5,1,JisstPCA1 (oracle),u,2,0.111404126739149
0,8.5,1,JisstPCA1 (oracle),V,2,0.439493645476076
0,8.5,1,JisstPCA1 (oracle),W,2,0.158982500614634
0,8.5,1,G-JisstPCA1 (BIC),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA1 (BIC),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA1 (BIC),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA1 (BIC),u,2,0.111517808386112
0,8.5,1,G-JisstPCA1 (BIC),V,2,0.43948962284754
0,8.5,1,G-JisstPCA1 (BIC),W,2,0.158949078890823
0,8.5,1,G-JisstPCA1 (BIC top),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA1 (BIC top),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA1 (BIC top),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA1 (BIC top),u,2,0.111517808386112
0,8.5,1,G-JisstPCA1 (BIC top),V,2,0.43948962284754
0,8.5,1,G-JisstPCA1 (BIC top),W,2,0.158949078890823
0,8.5,1,G-JisstPCA1 (oracle),u,1,0.0468175726817677
0,8.5,1,G-JisstPCA1 (oracle),V,1,0.0473166791683229
0,8.5,1,G-JisstPCA1 (oracle),W,1,0.0465568003912011
0,8.5,1,G-JisstPCA1 (oracle),u,2,0.111517808386112
0,8.5,1,G-JisstPCA1 (oracle),V,2,0.43948962284754
0,8.5,1,G-JisstPCA1 (oracle),W,2,0.158949078890823
0,8.5,1,iHOSVD,u,1,0.0480283988433706
0,8.5,1,iHOSVD,V,1,0.113465213246713
0,8.5,1,iHOSVD,W,1,0.0625255064556663
0,8.5,1,iHOSVD,u,2,0.112772510675028
0,8.5,1,iHOSVD,V,2,0.541457590449199
0,8.5,1,iHOSVD,W,2,0.21512823095681
0,8.5,1,iHOOI,u,1,0.046996499411855
0,8.5,1,iHOOI,V,1,0.117091373014192
0,8.5,1,iHOOI,W,1,0.059310890021328
0,8.5,1,iHOOI,u,2,0.105908202601751
0,8.5,1,iHOOI,V,2,0.537874492096244
0,8.5,1,iHOOI,W,2,0.201114693736147
0,12.5,1,JisstPCA0 (BIC),u,1,0.034010221052644
0,12.5,1,JisstPCA0 (BIC),V,1,0.0320853656441332
0,12.5,1,JisstPCA0 (BIC),W,1,0.0317678283051359
0,12.5,1,JisstPCA0 (BIC),u,2,0.0718455287177958
0,12.5,1,JisstPCA0 (BIC),V,2,0.0539320491799021
0,12.5,1,JisstPCA0 (BIC),W,2,0.0544434654064701
0,12.5,1,JisstPCA0 (BIC top),u,1,0.034010221052644
0,12.5,1,JisstPCA0 (BIC top),V,1,0.0320853656441332
0,12.5,1,JisstPCA0 (BIC top),W,1,0.0317678283051359
0,12.5,1,JisstPCA0 (BIC top),u,2,0.0718455287177958
0,12.5,1,JisstPCA0 (BIC top),V,2,0.0539320491799021
0,12.5,1,JisstPCA0 (BIC top),W,2,0.0544434654064701
0,12.5,1,JisstPCA0 (oracle),u,1,0.034010221052644
0,12.5,1,JisstPCA0 (oracle),V,1,0.0320853656441332
0,12.5,1,JisstPCA0 (oracle),W,1,0.0317678283051359
0,12.5,1,JisstPCA0 (oracle),u,2,0.0718455287177958
0,12.5,1,JisstPCA0 (oracle),V,2,0.0539320491799021
0,12.5,1,JisstPCA0 (oracle),W,2,0.0544434654064701
0,12.5,1,G-JisstPCA0 (BIC),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA0 (BIC),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA0 (BIC),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA0 (BIC),u,2,0.071919475608697
0,12.5,1,G-JisstPCA0 (BIC),V,2,0.0539280015436117
0,12.5,1,G-JisstPCA0 (BIC),W,2,0.0544381397702612
0,12.5,1,G-JisstPCA0 (BIC top),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA0 (BIC top),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA0 (BIC top),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA0 (BIC top),u,2,0.071919475608697
0,12.5,1,G-JisstPCA0 (BIC top),V,2,0.0539280015436117
0,12.5,1,G-JisstPCA0 (BIC top),W,2,0.0544381397702612
0,12.5,1,G-JisstPCA0 (oracle),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA0 (oracle),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA0 (oracle),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA0 (oracle),u,2,0.071919475608697
0,12.5,1,G-JisstPCA0 (oracle),V,2,0.0539280015436117
0,12.5,1,G-JisstPCA0 (oracle),W,2,0.0544381397702612
0,12.5,1,JisstPCA1 (BIC),u,1,0.034010221052644
0,12.5,1,JisstPCA1 (BIC),V,1,0.0320853656441332
0,12.5,1,JisstPCA1 (BIC),W,1,0.0317678283051359
0,12.5,1,JisstPCA1 (BIC),u,2,0.0768036959682847
0,12.5,1,JisstPCA1 (BIC),V,2,0.437847034770357
0,12.5,1,JisstPCA1 (BIC),W,2,0.15155117229182
0,12.5,1,JisstPCA1 (BIC top),u,1,0.034010221052644
0,12.5,1,JisstPCA1 (BIC top),V,1,0.0320853656441332
0,12.5,1,JisstPCA1 (BIC top),W,1,0.0317678283051359
0,12.5,1,JisstPCA1 (BIC top),u,2,0.0768036959682847
0,12.5,1,JisstPCA1 (BIC top),V,2,0.437847034770357
0,12.5,1,JisstPCA1 (BIC top),W,2,0.15155117229182
0,12.5,1,JisstPCA1 (oracle),u,1,0.034010221052644
0,12.5,1,JisstPCA1 (oracle),V,1,0.0320853656441332
0,12.5,1,JisstPCA1 (oracle),W,1,0.0317678283051359
0,12.5,1,JisstPCA1 (oracle),u,2,0.0768036959682847
0,12.5,1,JisstPCA1 (oracle),V,2,0.437847034770357
0,12.5,1,JisstPCA1 (oracle),W,2,0.15155117229182
0,12.5,1,G-JisstPCA1 (BIC),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA1 (BIC),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA1 (BIC),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA1 (BIC),u,2,0.0768560237089464
0,12.5,1,G-JisstPCA1 (BIC),V,2,0.437843726725779
0,12.5,1,G-JisstPCA1 (BIC),W,2,0.151539253386645
0,12.5,1,G-JisstPCA1 (BIC top),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA1 (BIC top),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA1 (BIC top),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA1 (BIC top),u,2,0.0768560237089464
